	entrez	symbol	PCA.PC1	PCA.PC2	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_1
ENSG00000004799	5166	PDK4	-0.00277171655230371	3.4669235725282e-05	13	12
ENSG00000004838	51364	ZMYND10	-0.0196370107790579	0.000450298727488886	10282	2903
ENSG00000004846	340273	ABCB5	0.0101160948086301	0.00526641850291764	29	86
ENSG00000004848	170302	ARX	-0.0131305450566213	-0.00534901562346282	267	73
ENSG00000004864	10165	SLC25A13	0.00136591653991865	-1.35632497851042e-05	5412	6569
ENSG00000004866	7982	ST7	0.000475416206170515	-8.32440430650007e-06	2040	2575
ENSG00000004897	996	CDC27	-8.25904636627736e-05	-0.0104452350729304	9072	9597
ENSG00000004948	799	CALCR	0.000564561465245563	-0.00522629079326172	43	54
ENSG00000004961	3052	HCCS	0.00479184037536803	7.28022525673778e-05	3007	4171
ENSG00000004975	1856	DVL2	0.00173812922991543	-8.395586959976e-05	10212	12641
ENSG00000005007	5976	UPF1	0.00139464420281178	-1.89962065502727e-05	26164	28694
ENSG00000005020	8935	SKAP2	0.00042522809600532	1.16713817182133e-06	8354	6882
ENSG00000005022	292	SLC25A5	-0.000841951900932685	0.0104390649881561	15572	15377
ENSG00000005059	55013	MCUB	0.00352551789157242	-0.000177227650623443	8479	8887
ENSG00000005073	3207	HOXA11	0.00828537748194733	0.0046336106014501	2	28
ENSG00000005075	5439	POLR2J	-0.00251947130030487	0.0104299723695544	7180	6283
ENSG00000005100	56919	DHX33	-0.000705457279303704	1.10366227836743e-05	5020	4589
ENSG00000005108	221981	THSD7A	0.00322254790187735	0.0103230774255741	758	986
ENSG00000005156	3980	LIG3	0.00123258988870554	-0.0104721491898016	5252	5933
ENSG00000005175	79657	RPAP3	0.000348173205327624	-4.65679064014337e-06	4668	4717
ENSG00000005187	6296	ACSM3	4.81566872705404e-05	-0.00522041290673816	29	19
ENSG00000005189	81691	REXO5	-0.00378352302885483	6.28494193715533e-05	524	435
ENSG00000005194	57019	CIAPIN1	0.00362453368904974	-0.000195953453302354	6155	8201
ENSG00000005206	56928	SPPL2B	-0.00453143403847069	0.010484129455839	17470	13777
ENSG00000005238	80256	ATOSB	0.00801711990791241	-0.000210816510110289	9830	17355
ENSG00000005243	51226	COPZ2	0.0167815869804118	-0.0103532904418836	858	2890
ENSG00000005249	5577	PRKAR2B	0.00960523336081882	0.00993184810569893	6412	12447
ENSG00000005302	10943	MSL3	-0.0037380631393292	5.42520748795586e-05	5089	4155
ENSG00000005339	1387	CREBBP	-1.04005856048809e-05	5.4780128310255e-08	18205	19772
ENSG00000005379	9256	TSPOAP1	-0.00717411999382309	0.0104943965096942	2412	1574
ENSG00000005421	5444	PON1	-0.00226381567342446	0.00516011914984635	7	6
ENSG00000005436	6936	GCFC2	-0.000642559075892867	0.0104421489462575	1769	1667
ENSG00000005448	84058	WDR54	-0.0077802578157288	0.000166021306583699	5015	2887
ENSG00000005469	54677	CROT	-0.00246768881532231	0.0104201792999563	5683	5015
ENSG00000005471	5244	ABCB4	0.00600135570561911	0.0106134110842293	1311	1653
ENSG00000005483	55904	KMT2E	0.00191498486508625	-0.010478824284982	15188	17651
ENSG00000005486	57414	RHBDD2	-0.0037531279604713	-0.0103859064664772	33266	26427
ENSG00000005513	30812	SOX8	-0.00327936818523629	-3.24960140011363e-05	4372	3575
ENSG00000005700	25998	IBTK	0.00274613628064967	-0.0104728391019778	9102	11338
ENSG00000005801	7748	ZNF195	-0.000882145317201361	0.0104466663406798	2969	3090
ENSG00000005810	23077	MYCBP2	0.00139909403375065	-1.98377556589879e-05	10384	11288
ENSG00000005812	26224	FBXL3	-0.000140029950630477	-4.1123763762489e-06	10282	10365
ENSG00000005882	5164	PDK2	0.00101872016616035	-2.94876960907912e-05	9039	8902
ENSG00000005884	3675	ITGA3	0.00438446116975424	-1.33264528494028e-05	54024	74058
ENSG00000005889	7543	ZFX	0.000927935730413813	-1.23186031438268e-05	4486	4808
ENSG00000005893	3920	LAMP2	-0.00470617439558162	0.00023734064072146	59482	44463
ENSG00000005961	3674	ITGA2B	-0.00994837147447671	-0.0101932980378944	222	143
ENSG00000005981	51666	ASB4	-0.00640708539010666	0.000232671825253556	15	4
ENSG00000006007	51573	GDE1	0.000195562347933456	0.0104366177162703	15601	15949
ENSG00000006015	55049	REX1BD	0.000124396446028009	-0.0104461368655375	4310	4339
ENSG00000006016	9244	CRLF1	0.0383317102271088	-0.000722388154077261	477	10265
ENSG00000006025	114881	OSBPL7	0.00234783309518493	-0.0104790982615723	2745	3242
ENSG00000006042	26022	TMEM98	-0.00309533675443044	-0.0103471355143472	9620	7323
ENSG00000006047	51087	YBX2	-0.0010682980195933	-0.00522343296640946	61	61
ENSG00000006062	9020	MAP3K14	-0.0131657347198507	-0.000120856782206784	4930	1983
ENSG00000006071	6833	ABCC8	-0.00604705984031058	0.000164584029400661	49	16
ENSG00000006116	10368	CACNG3	-0.0103157709200043	0.00521435170275771	39	2
ENSG00000006118	54972	TMEM132A	-0.0107972445266062	-0.011011791684618	117127	57789
ENSG00000006125	163	AP2B1	-0.00244230007380342	-2.76297926392653e-05	92340	78318
ENSG00000006128	6863	TAC1	0.00108402775098562	-0.00522254942052585	11	12
ENSG00000006194	10127	ZNF263	0.00137098092281815	-1.4521022557556e-05	4715	5555
ENSG00000006210	6376	CX3CL1	0.000717615890681656	-0.010456343641844	8392	9199
ENSG00000006282	64847	SPATA20	-0.000477369532456518	0.0104517014065434	9116	8251
ENSG00000006283	8913	CACNA1G	0.0223751703364574	-0.0003154496927456	307	1779
ENSG00000006327	51330	TNFRSF12A	0.00485065345274178	6.1679561947302e-05	18543	27211
ENSG00000006377	1750	DLX6	-0.00379058199093221	-9.89875879508222e-05	11	9
ENSG00000006432	4293	MAP3K9	0.00547373521152145	-5.61572516218538e-05	2525	4143
ENSG00000006451	5898	RALA	0.0014851292341769	-0.0103975302699874	8547	9833
ENSG00000006453	55971	BAIAP2L1	-0.0011813088598025	-2.13496336026012e-05	28	52
ENSG00000006459	80853	KDM7A	0.00180359550601075	-1.47508119981293e-05	1605	2237
ENSG00000006468	2115	ETV1	0.00270998163910807	-2.29939694308709e-05	2684	3426
ENSG00000006530	55750	AGK	-0.0020821706561307	-9.5737231916869e-05	4986	4711
ENSG00000006534	221	ALDH3B1	-0.00313803891088574	-0.0103390597105248	9803	8482
ENSG00000006576	57157	PHTF2	0.0162532075131215	-0.0102533636635699	3059	8338
ENSG00000006606	10344	CCL26	0.0108120887372998	0.00513479258759868	6	61
ENSG00000006607	9855	FARP2	0.00222376949966685	-1.26278453047815e-05	6644	6911
ENSG00000006625	79017	GGCT	-0.00294571896087097	6.75764571131818e-05	3675	3085
ENSG00000006634	10926	DBF4	0.00711733760574693	-4.06502712514267e-05	473	543
ENSG00000006638	6915	TBXA2R	0.0117303680961362	0.00039231237669137	247	703
ENSG00000006652	3475	IFRD1	-0.00252934153439591	-0.0104541761591494	7982	6927
ENSG00000006695	1352	COX10	0.00335181111982753	1.87956537232983e-05	1667	1977
ENSG00000006704	9569	GTF2IRD1	0.00376457946510105	0.0103837407654321	3519	5242
ENSG00000006712	54623	PAF1	-0.000191154242389179	-4.64203344901256e-06	12797	13068
ENSG00000006715	27072	VPS41	0.000171554327655607	-1.84949313132509e-06	20843	21996
ENSG00000006740	9912	ARHGAP44	-0.0166449268157343	0.00118981371952454	2396	899
ENSG00000006744	60528	ELAC2	-0.000950907484904833	1.66630062870296e-05	12819	12330
ENSG00000006747	85477	SCIN	-0.00724090964935052	6.4020135092403e-05	174	119
ENSG00000006756	414	ARSD	-0.00197835728079276	4.78016442265285e-05	3321	2957
ENSG00000006831	79602	ADIPOR2	0.00249606965723758	1.74609242852436e-05	11998	14539
ENSG00000006837	51265	CDKL3	-0.00102111032885869	0.0104321543141433	349	293
ENSG00000007001	151531	UPP2	0.00335724411699675	1.77681688619138e-05	4	13
ENSG00000007047	57787	MARK4	0.00545298135546629	0.0103907752944746	8859	11503
ENSG00000007062	8842	PROM1	-0.016483377046429	0.0102968931747512	34614	10911
ENSG00000007080	115098	CCDC124	-0.000425894292940668	-1.04114744433697e-06	11149	11214
ENSG00000007168	5048	PAFAH1B1	0.002116320132758	7.69290849382143e-06	36388	40933
ENSG00000007171	4843	NOS2	-0.00273193052705119	0.005085476730348	15	7
ENSG00000007174	1770	DNAH9	-0.0201677488397475	0.010340991177487	7509	2061
ENSG00000007202	9703	BLTP2	0.0023206577751539	5.06347043801593e-05	32839	37907
ENSG00000007237	8522	GAS7	-0.00932329371578799	-0.0106378563208588	1781	967
ENSG00000007255	79090	TRAPPC6A	-0.00486198957327219	0.000103636311333352	1882	1458
ENSG00000007264	4145	MATK	-0.0186481646708676	0.000263288800047536	507	76
ENSG00000007341	54879	ST7L	0.00315943675966324	-0.0103878302239029	2334	2581
ENSG00000007350	8277	TKTL1	-0.00939290585685806	-0.000181683727944307	5383	2970
ENSG00000007372	5080	PAX6	-0.0154771315834092	-0.0101267345137625	16283	6637
ENSG00000007376	113000	RPUSD1	0.00268964399210745	-0.0104621553174195	2841	3321
ENSG00000007384	64285	RHBDF1	0.00398754529908736	6.17380162918807e-05	4930	6242
ENSG00000007392	55692	LUC7L	-0.00115686234696022	0.010457827646773	9326	9390
ENSG00000007402	9254	CACNA2D2	0.00969897113537427	-0.0103192067272451	447	944
ENSG00000007516	8938	BAIAP3	-0.0159520176872425	-0.0100369243652619	86326	31405
ENSG00000007520	115939	TSR3	-6.10551419643368e-05	-1.20110359508357e-06	8498	8881
ENSG00000007541	9091	PIGQ	-0.00506006471551833	-0.0104650834317252	16550	12921
ENSG00000007545	57585	CRAMP1	0.000265582526356269	-0.0104422431356515	7284	7252
ENSG00000007866	7005	TEAD3	0.00296417110759815	-0.0103509017118503	4940	6407
ENSG00000007923	55735	DNAJC11	0.000561090393889494	1.62659479021251e-05	8474	10058
ENSG00000007944	29116	MYLIP	0.0217477069987416	0.0102462233526091	300	1659
ENSG00000007968	1870	E2F2	-0.00204932281686235	-2.0363396935485e-05	48	36
ENSG00000008018	5689	PSMB1	0.00209003483889792	-6.89220307710978e-05	13142	15605
ENSG00000008056	6853	SYN1	0.0105302206671485	0.0107359470745881	1487	2802
ENSG00000008083	3720	JARID2	-0.00240784835203065	0.0104904483075856	7403	6617
ENSG00000008086	6792	CDKL5	-0.00358575440277016	2.54475465139527e-05	4543	4524
ENSG00000008128	728642	CDK11A	0.000304984413302748	3.51104538201825e-06	3946	4114
ENSG00000008130	65220	NADK	-0.000949842683234324	1.64616316934585e-05	13535	14080
ENSG00000008196	7021	TFAP2B	-0.00461751794382592	-0.0105487775869412	611	656
ENSG00000008226	9940	DLEC1	-0.021447894306773	0.000140083858170265	1638	563
ENSG00000008256	9265	CYTH3	0.00321215267180229	-0.000117964225782645	9308	11534
ENSG00000008277	53616	ADAM22	0.0153519175047286	-0.000292592672250522	14635	34618
ENSG00000008282	6856	SYPL1	-0.0060496246719878	-0.0102779385017655	12179	8493
ENSG00000008283	1534	CYB561	-0.00412540205070719	-3.56666378395713e-05	10725	7903
ENSG00000008294	9043	SPAG9	0.0013591486268407	-1.22833065025722e-05	77788	92851
ENSG00000008300	1951	CELSR3	0.00411110964393962	-0.0105678099756179	4014	5253
ENSG00000008311	10157	AASS	-0.00609630607798642	0.000173897445571527	4606	3346
ENSG00000008323	55200	PLEKHG6	-0.0055717566257406	-0.00547315278523585	35	11
ENSG00000008324	51188	SS18L2	0.00196926992440792	0.0103969245411038	944	1128
ENSG00000008382	84954	MPND	-3.77507633658327e-05	2.04027480869655e-06	2338	2308
ENSG00000008394	4257	MGST1	-0.0241527721982431	-0.000653747357808806	6749	1341
ENSG00000008405	1407	CRY1	-0.000414089212491336	0.0104397338739343	6269	6820
ENSG00000008441	4784	NFIX	-0.00750643575822338	0.0105572438491066	93880	57965
ENSG00000008513	6482	ST3GAL1	0.0009405378165054	0.0104283056890505	1891	3312
ENSG00000008516	64386	MMP25	-0.00413185607731351	-0.0050927778581853	98	61
ENSG00000008517	9235	IL32	-0.0334374468123955	0.0115451718062707	3389	307
ENSG00000008710	5310	PKD1	0.00259085812299465	-0.0103618870018417	24133	32017
ENSG00000008735	23542	MAPK8IP2	-0.00171021466268875	-0.0104459169022975	7342	6872
ENSG00000008838	9862	MED24	-0.00152160288411088	4.30065490910788e-05	18392	17710
ENSG00000008853	23221	RHOBTB2	0.00450254837250673	-0.000198831020786671	6506	9085
ENSG00000008869	54497	HEATR5B	0.000261488270873237	0.0104445463481619	5004	5155
ENSG00000008952	7095	SEC62	-0.00145834169525493	0.0104740502249956	32378	31909
ENSG00000008988	6224	RPS20	-0.00235970314240118	-0.0104862580605853	68249	59941
ENSG00000009307	7812	CSDE1	0.00180182650932439	-1.44162605050111e-05	89707	103996
ENSG00000009335	9690	UBE3C	0.0033108688288688	-0.0104164689575136	11454	14977
ENSG00000009413	5980	REV3L	-0.00574291063371977	-0.0103359440595228	23457	17263
ENSG00000009694	10178	TENM1	-0.00303137512359575	0.00530527948965508	123	91
ENSG00000009709	5081	PAX7	0.00473186573728665	0.0105271522072375	2317	3084
ENSG00000009780	199870	FAM76A	-0.0051986156830607	0.0106103064108895	2880	1912
ENSG00000009830	29954	POMT2	-0.00291475070982478	-0.000101452231814786	13355	9960
ENSG00000009844	51534	VTA1	-0.00022439289740769	0.0104344533800391	11265	11096
ENSG00000009950	51085	MLXIPL	0.0100304069405422	6.11199411062105e-05	11	55
ENSG00000009954	9031	BAZ1B	0.00166091098811453	0.0104552411808969	17778	20639
ENSG00000010017	10048	RANBP9	-0.000755659316769362	-0.0104632697896671	14276	13597
ENSG00000010030	51513	ETV7	-0.00539962637756451	4.21418375485625e-05	198	112
ENSG00000010072	83932	SPRTN	-0.00326015588478653	-3.61294316617142e-05	2640	2497
ENSG00000010165	51603	METTL13	-0.00225165711775794	1.79019333479367e-05	5667	5709
ENSG00000010219	8798	DYRK4	0.000208509110894425	0.0104443674825504	3252	3396
ENSG00000010244	7756	ZNF207	0.00121500514492415	-0.0104688235745907	18958	20304
ENSG00000010256	7384	UQCRC1	0.000118066375266484	-1.93213625588183e-06	18614	19495
ENSG00000010270	83930	STARD3NL	-0.00139573661876526	1.92028035389286e-05	10481	9651
ENSG00000010278	928	CD9	0.00741107014031654	-9.62007755432961e-05	4361	7438
ENSG00000010282	57467	HHATL	-0.00666657192457504	0.00517690555649051	36	8
ENSG00000010292	9918	NCAPD2	0.000834100195737529	5.42751163165238e-06	9487	10143
ENSG00000010295	25900	IFFO1	0.00336594589769587	-0.0104268850966476	3847	5022
ENSG00000010310	2696	GIPR	0.00801725902951643	0.000115501166504791	67	283
ENSG00000010318	51533	PHF7	0.0011776872956658	2.20345414369134e-05	293	331
ENSG00000010319	56920	SEMA3G	0.00703307570874917	-2.47147165547928e-05	295	286
ENSG00000010322	11188	NISCH	0.000612360346454858	-0.0104364377823522	36163	36546
ENSG00000010327	23166	STAB1	0.000223602439952184	-0.0052229983436182	10	11
ENSG00000010361	80199	FUZ	-0.00956710739186047	-0.00014873884789559	4944	2672
ENSG00000010379	6540	SLC6A13	0.00299103704623577	-0.0051344787853199	54	42
ENSG00000010404	3423	IDS	0.00239476630120437	-4.49666482624595e-05	80226	83519
ENSG00000010539	7752	ZNF200	-0.00230093554674096	0.0103886430311681	1512	1499
ENSG00000010610	920	CD4	0.0164584991234451	-0.000501868662225157	72	356
ENSG00000010626	10233	LRRC23	-0.0170847970148083	0.0104106333247268	6363	2004
ENSG00000010704	3077	HFE	0.00644701329142489	8.61210234376394e-05	334	477
ENSG00000010803	22955	SCMH1	-0.00165798435478162	6.87989233778672e-05	5349	5537
ENSG00000010810	2534	FYN	-0.00760406105479663	0.000132699090715724	58921	37106
ENSG00000010818	3097	HIVEP2	0.00331359395152511	-0.000137148734073061	8289	10705
ENSG00000010932	2326	FMO1	-0.00523441601024874	0.00523240115646125	17	3
ENSG00000011007	6924	ELOA	0.00246958045735548	0.0103838921380443	9025	10967
ENSG00000011009	11313	LYPLA2	0.000147671720183146	-2.43195486968421e-06	5868	5891
ENSG00000011021	1185	CLCN6	-0.00542304749286914	0.0104895788139649	10395	8098
ENSG00000011028	9902	MRC2	0.0110946448443021	-0.000140148033267179	121962	265865
ENSG00000011052	654364	NME1-NME2	0.00473649224274469	-0.0105229099289429	1330	1908
ENSG00000011105	10867	TSPAN9	0.00322620911791116	-0.0104004581685018	30130	36491
ENSG00000011114	55727	BTBD7	0.00841883203121453	0.0101562195470465	7052	11571
ENSG00000011132	9546	APBA3	-0.00226470817292871	2.03701403422333e-05	1506	1509
ENSG00000011143	54903	MKS1	-0.00372717335964325	5.21926068874683e-05	3326	2416
ENSG00000011198	51099	ABHD5	0.0109504485594805	-0.0105558853169044	5916	11269
ENSG00000011201	3730	ANOS1	0.00102872123640087	0.0104116284985154	7130	7042
ENSG00000011243	26993	AKAP8L	-0.00346621548847098	-0.0104401671650089	19692	17277
ENSG00000011258	54799	MBTD1	-0.00114536966531152	-0.0104711540209447	4113	3967
ENSG00000011260	51096	UTP18	-0.000553740593912452	-0.0104402670285041	4454	4488
ENSG00000011275	54476	RNF216	0.00122702566310873	-0.0104710968871061	15866	17564
ENSG00000011295	54902	TTC19	-0.00181547190544611	1.69968688701491e-05	10403	9358
ENSG00000011304	5725	PTBP1	0.00431527347262295	-2.41720945027104e-07	31834	36497
ENSG00000011332	8193	DPF1	-7.2139478860841e-05	0.0104413531869799	1241	1305
ENSG00000011347	9066	SYT7	0.00193563552807864	4.18638624278894e-05	283	320
ENSG00000011376	23395	LARS2	-0.00434545793582375	-0.000157221806771862	10491	8485
ENSG00000011405	5286	PIK3C2A	0.000754440491140315	0.0104227072947705	14470	14163
ENSG00000011422	5329	PLAUR	0.00582682210869848	-0.0102395964172914	1150	3045
ENSG00000011426	54443	ANLN	-0.000445680390515426	0.010445708376803	1114	1462
ENSG00000011451	58525	WIZ	-0.00025205362071543	-3.32303256116006e-06	17116	17427
ENSG00000011454	23637	RABGAP1	-0.00127734330574052	0.0104398199282793	17485	16974
ENSG00000011478	54814	QPCTL	0.00482519055033578	-0.0105396844947013	1671	2372
ENSG00000011485	5536	PPP5C	-0.000649677725683645	2.08841293864441e-05	12165	12906
ENSG00000011523	23177	CEP68	-0.00624504936244441	-0.000124316309227385	8850	5993
ENSG00000011566	8491	MAP4K3	0.00275683561070724	0.000131317031790496	7844	10112
ENSG00000011638	57146	LDAF1	0.00666566093167232	4.47705251151818e-05	1373	2550
ENSG00000011677	2556	GABRA3	0.00269098829237699	-1.94019601539706e-05	10	45
ENSG00000012048	672	BRCA1	0.00319515601560091	4.84221642916113e-05	1291	1333
ENSG00000012061	2067	ERCC1	-0.00260238154642458	0.0105272382977238	10920	8469
ENSG00000012171	7869	SEMA3B	0.0155125272771145	-0.000322967087067432	9521	26842
ENSG00000012174	51360	MBTPS2	0.00223642536193141	-1.50213136758463e-05	5810	7242
ENSG00000012211	4007	PRICKLE3	0.000123553564217303	-2.96986983146077e-06	158	239
ENSG00000012232	2137	EXTL3	0.00162449432373089	-6.2465310670156e-05	31943	35877
ENSG00000012504	9971	NR1H4	0.00534826300432449	-3.2428030088334e-05	46	91
ENSG00000012660	60481	ELOVL5	-0.002145070947111	-2.25557333974554e-06	19927	17301
ENSG00000012779	240	ALOX5	0.000963789646934894	-0.00524060306754673	49	42
ENSG00000012817	8284	KDM5D	0.00238021216543647	0.010319207413999	4786	5782
ENSG00000012822	57658	CALCOCO1	0.00295967458440439	9.29562581178353e-05	16277	18317
ENSG00000012963	55148	UBR7	0.00210786307960665	9.29230083920394e-06	5497	6727
ENSG00000012983	11183	MAP4K5	0.00988436501610021	8.87392940743513e-05	7425	12612
ENSG00000013016	30845	EHD3	0.00634251728402986	0.0105488908302728	3751	5897
ENSG00000013275	5704	PSMC4	-0.000296286991483384	5.04235350780022e-06	13542	14195
ENSG00000013288	23324	MAN2B2	0.00382934828346016	-0.0105145234519186	27143	35185
ENSG00000013293	57709	SLC7A14	0.0054530736675046	-0.0104952573444192	3895	6206
ENSG00000013297	5010	CLDN11	-0.000258300159166345	0.0104408658991447	1014	993
ENSG00000013306	51629	SLC25A39	0.00123399406986377	1.1385841229671e-05	15172	17182
ENSG00000013364	9961	MVP	0.00362137754199792	0.000130987422359701	19462	25044
ENSG00000013374	51667	NUB1	0.00269097045848781	0.0105867809966311	9743	9051
ENSG00000013375	5238	PGM3	0.00185911235708778	-2.52501224628168e-05	9967	10113
ENSG00000013392	112611	RWDD2A	0.0002455454762493	0.010447561439025	1850	1941
ENSG00000013441	1195	CLK1	-0.0026259959198886	-0.0104358969451563	7383	6497
ENSG00000013503	55703	POLR3B	-0.000412197731794261	-0.0104466390225562	3396	3408
ENSG00000013523	23357	ANGEL1	-0.00164507280506687	0.0104277786932143	3827	3336
ENSG00000013561	9604	RNF14	0.00387848751554826	-8.08090408120862e-05	9412	12300
ENSG00000013563	1774	DNASE1L1	0.000819440317687379	-0.0104348076122971	5199	5834
ENSG00000013573	1663	DDX11	-0.00405747959619335	-4.85120878899499e-05	1212	1300
ENSG00000013583	50865	HEBP1	-0.00358671596754193	0.0104686369874638	4495	3562
ENSG00000013588	9052	GPRC5A	0.0251400889714988	-0.000838349291619074	611	2872
ENSG00000013619	10046	MAMLD1	-0.00749379885147105	0.000111846375138802	7691	4399
ENSG00000013725	923	CD6	-0.00212318240010214	-0.00514631291941936	50	77
ENSG00000013810	10460	TACC3	0.00179542251989066	0.0104298024482274	900	1182
ENSG00000014123	23376	UFL1	0.00207197022607615	-0.0105085132534928	4479	5152
ENSG00000014138	23649	POLA2	0.010181852514004	-0.000293865333622153	1087	1117
ENSG00000014164	23144	ZC3H3	-0.000418456266320138	-0.0104454554126114	4105	4187
ENSG00000014216	823	CAPN1	0.00516510187905202	2.21128179606693e-06	21413	29787
ENSG00000014641	4190	MDH1	0.0032545985683139	-0.000125991565892571	14747	18414
ENSG00000014824	10463	SLC30A9	-0.00025123465322875	-3.47791515511707e-06	17252	19252
ENSG00000014914	10903	MTMR11	0.000655140772713992	0.010421090293193	4077	4420
ENSG00000014919	1355	COX15	-0.00368382047161955	-0.0103990138533132	7227	6061
